TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,HAL 9000 screensaver (in Google Drive _Backup_ folder),4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Generated backgrounds (my Bash script),4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Terminal dotfiles [Run _git clone https://github.com/garrettheath4/dotfiles-mac.git (https://github.com/garrettheath4/dotfiles-mac.git) (garrettheath4/dotfiles-mac) ~/dotfiles_ ],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Run _installApps.sh_ script in dotfiles to install apps,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Google Chrome,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Personal profile,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Disable Chrome Password Sync,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Log in to LastPass,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,YubiKey naming scheme: <computer> <OS type> <OS version name> <browser program> <browser profile> <date>,4,5,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,More Options: Identities: _Filtered_,4,5,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Log in to Evernote Web Clipper,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Work profile,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Disable Chrome Password Sync,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Log in to LastPass,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,YubiKey naming scheme: <computer> <OS type> <OS version name> <browser program> <browser profile> <date>,4,5,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,More Options: Identities: _work_,4,5,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Log in to Evernote Web Clipper,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Toggl Button,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Remind me to track_,4,5,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Enable integrations: _*.google.com_, _todoist.com_, and _jira.datawarehousellc.com_",4,5,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,InSync,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Personal,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Work,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,KeepingYouAwake,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Default Activation Duration: _5 hours_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Deactivate when battery capacity is below _20%_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,iTerm2,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Copy preferences file from _~/dotfiles/iTerm/com.googlecode.iterm2.plist_ to _~/Library/Preferences/com.googlecode.iterm2.plist_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Load _Homebrew_ color scheme from Google Drive _Backups/iTerm/…Color-Schemes…/schemes/Homebrew.itermcolors_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Moom,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Activate using license file in Google Drive _Backups/Licenses_ folder,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Run as _faceless_ application,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show preferences on launch_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Mouse Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Enable _hexagon_ grid with _6_ x _4_ cells,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Enable access to custom controls_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Show on hover_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Bring moomed windows to the front automatically_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Keyboard Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Trigger keyboard control with hot key: _Control+Shift+`_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Show cheat sheet_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Repeat to toggle grid_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Arrow keys with Command held: _Move to Other Display_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Return: _n/a_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Space: _Center (Actual Screen Center)_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Tab: _Move & Zoom to Full Screen_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Custom Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Arrange Windows: _Switching to 1 display_ or _Control+Shift+1_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Arrange Windows: _Switching to 2 displays_ or _Control+Shift+2_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Move & Zoom: Left half of screen with _Control+Shift+A_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Move & Zoom: Right half of screen with _Control+Shift+D_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Move to Edges: Global Hotkey + _W, A, S, or D_",4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Updates: Check _Check for updates automatically_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,BetterTouchTool,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Manage Presets: Import from _dotfiles/BetterTouchTool_ folder,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Advanced Settings: Uncheck _Show Menubar icon_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Advanced Settings: Snap Areas: Disable the Snap Area feature,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Airmail 3,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Import accounts from iCloud sync: Gmail, Work, School",4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Open Links in Background_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Change _Dock + Status Menu_ to just _Dock_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Mark as Read: _Manually_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Composing Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Default Sender: _Ask_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sending Delay: _15 sec_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Appearance Settings: Theme: _Pro Slim_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Services Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Calendar: _Disable_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Google Drive: _Link Google Drive_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Todoist: _Login_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Evernote: _Link Evernote_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Advanced: Detect in messages: _Links_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,TogglDesktop,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Show timer on menu bar_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Show project on menu bar_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show dock icon_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Reminder Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Remind to track time: _20 minutes_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Reminder start time: _10:00_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Reminder end time: _17:00_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Sat_ and _Sun_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,MacVim,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Check for updates (when MacVim launches)_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,After last window closes: _Quit MacVim_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Alfred,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Hotkey: _Command+Space_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Where are you: _United States_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Appearance: _Alfred macOS Dark_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,TG Pro,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Use license key from LastPass,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Update Frequency: _~3s_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"MenuBar: _Highest, Average CPU_, and _Average RPM_ using _shorter titles_",4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Fan: Auto Boost Rules based on [https://docs.google.com/spreadsheets/d/1xS2cyAgw2n3J3kfsrzPrlRPTrbyopBzqoEkXQxW9lDc/edit?pli=1#gid=369680853 (this spreadsheet)],4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,BitBar: Set plugins directory to _~/dotfiles/BitBarScripts_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Spotify,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,High quality streaming,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Download playlists,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Add Music folder from Google Drive,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set up game save sync locations (GD Games folder),4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Minecraft,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Papers Please,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Osmos,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Lumino City,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Tunnelblick: Install home VPN configuration,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set up Time Machine backups,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
